AC name,cooling capacity kW,cooling capacity BTU/h,power input kW,,
PLFY-P32VEM-PA,3.6,12300,0.03,,
PLFY-P40VEM-PA,4.5,15400,0.03,,
PLFY-P50VEM-PA,5.6,19100,0.03,,
PLFY-P63VEM-PA,7.1,24200,0.03,,
PLFY-P80VEM-PA,9.0,30700,0.05,,
PLFY-P100VEM-PA,11.2,38200,0.07,,
PLFY-P125VEM-PA,14.0,47800,0.11,,
PLFY-P140VEM-PA,16.0,54600,0.11,,
PLFY-P15VFM-E1,1.7,5800,0.02,,
PLFY-P20VFM-E1,2.2,7500,0.02,,
PLFY-P25VFM-E1,2.8,9600,0.02,,
PLFY-P32VFM-E1,3.6,12300,0.02,,
PLFY-P40VFM-E1,4.5,15400,0.03,,
PLFY-P50VFM-E1,5.6,19100,0.04,,
PLFY-P20VLMD-E,2.2,7500,0.072,,
PLFY-P25VLMD-E,2.8,9600,0.072,,
PLFY-P32VLMD-E,3.6,12300,0.072,,
PLFY-P40VLMD-E,4.5,15400,0.081,,
PLFY-P50VLMD-E,5.6,19100,0.082,,
PLFY-P63VLMD-E,7.1,24200,0.101,,
PLFY-P80VLMD-E,9.0,30700,0.147,,
PLFY-P100VLMD-E,11.2,38200,0.157,,
PLFY-P125VLMD-E,14.0,47800,0.280,,
PMFY-P20VBM-E,2.2,7500,0.042,,
PMFY-P25VBM-E,2.8,9600,0.044,,
PMFY-P32VBM-E,3.6,12300,0.044,,
PMFY-P40VBM-E,4.5,15400,0.054,,
PMFY-P50VFM-PA,5.6,19100,0.060,,
PMFY-P63VFM-PA,7.1,24200,0.075,,
PMFY-P71VFM-PA,8.0,27300,0.09,,
PEFY-P15VMS1(L)-E,1.7,5800,0.05,,
PEFY-P20VMS1(L)-E,2.2,7500,0.05,,
PEFY-P25VMS1(L)-E,2.8,9600,0.06,,
PEFY-P32VMS1(L)-E,3.6,12300,0.07,,
PEFY-P40VMS1(L)-E,4.5,15400,0.07,,
PEFY-P50VMS1(L)-E,5.6,19100,0.09,,
PEFY-P63VMS1(L)-E,7.1,24200,0.09,,
PEFY-P20VMA(L)-E4,2.2,7500,0.032,,
PEFY-P25VMA(L)-E4,2.8,9600,0.032,,
PEFY-P32VMA(L)-E4,3.6,12300,0.044,,
PEFY-P40VMA(L)-E4,4.5,15400,0.047,,
PEFY-P50VMA(L)-E4,5.6,19100,0.066,,
PEFY-P63VMA(L)-E4,7.1,24200,0.087,,
PEFY-P71VMA(L)-E4,8.0,27300,0.080,,
PEFY-P80VMA(L)-E4,9.0,30700,0.080,,
PEFY-P100VMA(L)-E4,11.2,38200,0.142,,
PEFY-P125VMA(L)-E4,14.0,47800,0.199,,
PEFY-P140VMA(L)-E4,16.0,54600,0.208,,
PEFY-P20VMA3/4-E,2.2,7500,0.087,,
PEFY-P25VMA4-E,2.8,9600,0.080,,
PEFY-P32VMA4-E,3.6,12300,0.080,,
PEFY-P40VMA4-E,4.5,15400,0.080,,
PEFY-P50VMA4-E,5.6,19100,0.208,,
PEFY-P63VMA4-E,7.1,24200,0.208,,
PEFY-P71VMA4-E,8.0,27300,0.208,,
PEFY-P40VMHS-E,4.5,15400,0.055,,
PEFY-P50VMHS-E,5.6,19100,0.055,,
PEFY-P63VMHS-E,7.1,24200,0.090,,
PEFY-P71VMHS-E,8.0,27300,0.075,,
PEFY-P80VMHS-E,9.0,30700,0.090,,
PEFY-P100VMHS-E,11.2,38200,0.160,,
PEFY-P125VMHS-E,14.0,47800,0.160,,
PEFY-P140VMHS-E,16.0,54600,0.190,,
PEFY-P200VMH-E,22.4,76400,0.99,,
PEFY-P250VMH-E,28.0,95500,1.23,,
PEFY-P200VMHS-E,22.4,76400,0.63,,
PEFY-P250VMHS-E,28.0,95500,0.82,,
PEFY-P125VMHS-E-F,14.0,47800,0.22,,
PEFY-P200VMHS-E-F,22.4,76400,0.26,,
PEFY-P250VMHS-E-F*6,28.0,95500,0.35,,
PEFY-P80VMH-E-F,9.0,30700,0.185,,
PEFY-P140VMH-E-F,16.0,54600,0.31,,
PEFY-P200VMH-E-F,22.4,76400,0.38,,
PEFY-P250VMH-E-F,28.0,95500,0.445,,
PEFY-P20VMR-E-L,2.2,7500,0.06,,
PEFY-P25VMR-E-L,2.8,9600,0.06,,
PEFY-P32VMR-E-L,3.6,12300,0.075,,
PEFY-P20VMR-E-R,2.2,7500,0.06,,
PEFY-P25VMR-E-R,2.8,9600,0.06,,
PEFY-P32VMR-E-R,3.6,12300,0.075,,
PCFY-P40VKM-E,4.5,15400,0.04,,
PCFY-P63VKM-E,7.1,24200,0.05,,
PCFY-P100VKM-E,11.2,38200,0.09,,
PCFY-P125VKM-E,14.0,47800,0.11,,
PKFY-P15VLM-E,1.7,5800,0.02,,
PKFY-P20VLM-E,2.2,7500,0.02,,
PKFY-P25VLM-E,2.8,9600,0.03,,
PKFY-P32VLM-E,3.6,12300,0.04,,
PKFY-P40VLM-E,4.5,15400,0.04,,
PKFY-P50VLM-E,5.6,19100,0.05,,
PKFY-P63VKM-E,7.1,24200,0.05,,
PKFY-P100VKM-E,11.2,38200,0.08,,
PFFY-P20VKM-E2,2.2,7500,0.025,,
PFFY-P25VKM-E2,2.8,9600,0.025,,
PFFY-P32VKM-E2,3.6,12300,0.025,,
PFFY-P40VKM-E2,4.5,15400,0.028,,
PFFY-P20VLEM-E,2.2,7500,0.04,,
PFFY-P25VLEM-E,2.8,9600,0.04,,
PFFY-P32VLEM-E,3.6,12300,0.06,,
PFFY-P40VLEM-E,4.5,15400,0.065,,
PFFY-P50VLEM-E,5.6,19100,0.085,,
PFFY-P63VLEM-E,7.1,24200,0.1,,
PFFY-P20VCM-E,2.2,7500,0.022,,
PFFY-P25VCM-E,2.8,9600,0.026,,
PFFY-P32VCM-E,3.6,12300,0.031,,
PFFY-P40VCM-E,4.5,15400,0.038,,
PFFY-P50VCM-E,5.6,19100,0.052,,
PFFY-P63VCM-E,7.1,24200,0.058,,
PFFY-P200YM-E,22.4,76400,0.49,,
PFFY-P250YM-E,28.0,95500,1.05,,
PFFY-P200YMH-E,22.4,76400,1.00,,
PFFY-P250YMH-E,28.0,95500,1.31,,
PFFY-P400YM-E,45.0,153500,2.86,,
PFFY-P500YM-E,56.0,191100,3.94,,
PFFY-P300YM-E-F,33.5,114300,0.35,,
PFFY-P600YM-E-F,67,228600,0.79,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
